,Time_range,Location,Scenario,SST_trend,Coral_trend,Symb_trend,Trait_trend
0,1970-01-01_2010-12-31,CAR,RCP26,1.633904326276911,4.549660056545812e-12,1.891328131643098e-18,1655137622.3775873
1,1986-01-01_2005-12-31,CAR,RCP26,0.42578974131521785,4.715107520748134e-12,2.0506558497570777e-18,1609465362.7111375
2,2081-01-01_2100-12-31,CAR,RCP26,0.3474887911757703,8.647953868632428e-12,6.871620979312891e-18,5714117215.397945
3,1970-01-01_2010-12-31,CAR,RCP45,1.633904326276911,4.538273355921627e-12,1.85682603172389e-18,1618196710.0048418
4,1986-01-01_2005-12-31,CAR,RCP45,0.42578974131521785,4.701343193550127e-12,1.9757776383213553e-18,1569402136.5410802
5,2081-01-01_2100-12-31,CAR,RCP45,0.170567423095759,9.637239519224675e-12,1.104851855164328e-17,11639915395.266293
6,1970-01-01_2010-12-31,CAR,RCP85,1.633904326276911,4.5490782374122805e-12,1.922760462568624e-18,1583822683.5315542
7,1986-01-01_2005-12-31,CAR,RCP85,0.42578974131521785,4.70470968408324e-12,2.0236333624056464e-18,1434696268.1639278
8,2081-01-01_2100-12-31,CAR,RCP85,0.9084175573379012,1.0276382213962052e-11,-775869.4276017171,0.00958562884832844
9,1970-01-01_2010-12-31,GBR,RCP26,0.2253841021604517,1.7404752307742422e-12,5.922814835778237e-19,642882860.5997647
10,1986-01-01_2005-12-31,GBR,RCP26,-1.076168966789925,1.762240336776463e-12,5.983572264960503e-19,605539202.1343509
11,2081-01-01_2100-12-31,GBR,RCP26,-0.05602625730224736,2.2781062781789756e-12,8.918712586838252e-19,807843505.3285388
12,1970-01-01_2010-12-31,GBR,RCP45,0.2253841021604517,1.7441803325683625e-12,5.946815989985872e-19,646309867.989639
13,1986-01-01_2005-12-31,GBR,RCP45,-1.076168966789925,1.766003765196824e-12,6.074551066365179e-19,622432908.3147197
14,2081-01-01_2100-12-31,GBR,RCP45,0.05172351976847748,2.218724005598341e-12,1.0872693269369186e-18,900109571.4928741
15,1970-01-01_2010-12-31,GBR,RCP85,0.2253841021604517,1.7397913716319112e-12,5.908844766251178e-19,639718549.2183573
16,1986-01-01_2005-12-31,GBR,RCP85,-1.076168966789925,1.7623082852069198e-12,6.001799968317625e-19,609075958.3289005
17,2081-01-01_2100-12-31,GBR,RCP85,0.2894788498615158,2.3944968852808333e-12,4.9844781264084865e-18,20417218976.083187
18,1970-01-01_2010-12-31,SEA,RCP26,5.82882881513223,4.838924805390936e-13,1.737396428113372e-19,1366875236.9512362
19,1986-01-01_2005-12-31,SEA,RCP26,2.6547451690955604,5.104530684943143e-13,1.890399083140841e-19,1353235141.2787147
20,2081-01-01_2100-12-31,SEA,RCP26,-0.2202983826116049,1.0312871608547516e-12,5.53594752162324e-19,1951781217.8495934
21,1970-01-01_2010-12-31,SEA,RCP45,5.82882881513223,4.850369176589835e-13,1.7363576619419781e-19,1368581276.3524756
22,1986-01-01_2005-12-31,SEA,RCP45,2.6547451690955604,5.116056970695855e-13,1.9024134954118867e-19,1353698908.2557378
23,2081-01-01_2100-12-31,SEA,RCP45,1.0391597500586676,1.1844676712634644e-12,1.052728821194086e-12,0.010168945041326012
24,1970-01-01_2010-12-31,SEA,RCP85,5.82882881513223,4.860843544329409e-13,1.7356256854316992e-19,1396870428.5701425
25,1986-01-01_2005-12-31,SEA,RCP85,2.6547451690955604,5.132127268813696e-13,1.9121975365131736e-19,1406968167.8244412
26,2081-01-01_2100-12-31,SEA,RCP85,3.9941686976918405,1.1573667010946617e-12,2.3929062916061206e-25,0.010172376827947463
